age,balance,day,duration,campaign,pdays,previous,rank
39,1756,3,939,1,-1,0,C
51,1443,18,172,10,-1,0,A
36,436,13,567,1,595,2,A
63,474,25,423,1,-1,0,A
31,354,30,502,1,9,2,A
29,260,2,707,14,-1,0,A
37,52,6,908,1,185,9,A
32,230,18,442,1,266,8,A
31,0,7,895,2,295,2,A
32,1815,10,235,1,102,2,A
35,353,12,582,1,-1,0,A
34,1451,30,1097,15,-1,0,A
34,625,31,34,1,-1,0,A
31,883,5,112,2,106,1,A
38,5839,4,984,2,-1,0,A
71,383,27,388,3,-1,0,A
62,557,14,185,1,-1,0,A
66,154,15,268,5,181,2,A
46,369,13,916,2,-1,0,A
29,89,22,120,1,-1,0,B
28,112,5,145,1,-1,0,B
67,708,11,96,2,-1,0,B
42,4,17,795,1,-1,0,A
33,420,6,112,2,-1,0,B
39,158,6,354,2,-1,0,B
57,66,11,798,2,-1,0,B
43,0,11,155,2,-1,0,B
46,973,2,297,1,-1,0,B
31,-81,22,261,1,-1,0,B
36,524,8,95,1,-1,0,B
33,0,9,47,2,12,4,B
52,2227,24,242,2,-1,0,A
30,800,6,95,2,-1,0,B
41,-4,8,72,1,368,1,B
29,-493,18,536,2,334,4,A
56,171,17,610,2,-1,0,B
48,2204,12,45,1,-1,0,B
30,601,27,154,1,-1,0,B
60,1412,22,127,4,-1,0,B
32,1337,26,368,6,-1,0,B
31,0,18,129,2,-1,0,B
29,54,28,873,3,-1,0,B
33,1126,6,11,1,490,5,B
31,691,8,198,1,-1,0,B
39,794,2,182,1,-1,0,B
23,-95,14,167,3,-1,0,B
51,107,19,593,1,-1,0,B
39,-146,20,239,2,-1,0,B
40,1041,12,73,1,-1,0,B
69,813,28,237,2,-1,0,B
32,2017,17,686,1,-1,0,B
30,236,13,44,1,364,1,B
56,0,30,1259,6,-1,0,B
32,2343,18,226,1,-1,0,B
49,1830,13,261,1,179,1,A
45,2813,13,43,1,-1,0,B
45,58,13,119,3,371,3,B
55,-703,8,123,3,-1,0,B
77,2590,15,112,5,94,15,B
30,0,21,142,2,-1,0,B
56,4073,27,239,5,-1,0,B
54,500,11,56,4,-1,0,B
32,5205,20,352,1,-1,0,B
43,49,9,100,1,-1,0,B
48,1811,31,135,3,-1,0,B
50,89,20,35,2,-1,0,B
50,642,18,435,1,-1,0,B
35,-205,23,147,14,-1,0,B
39,720,18,47,3,-1,0,B
36,755,18,355,1,-1,0,B
30,23,12,72,4,-1,0,B
43,-495,23,131,1,-1,0,B
37,532,11,199,1,-1,0,B
53,200,17,182,3,-1,0,B
45,19706,3,419,3,-1,0,B
30,397,28,536,7,-1,0,B
53,-187,31,27,2,-1,0,B
45,-479,30,167,2,-1,0,B
51,3025,7,476,1,352,1,A
35,-269,9,96,10,-1,0,B
53,2009,16,250,1,-1,0,B
33,-253,12,89,3,-1,0,B
49,-18,11,217,3,264,4,B
36,0,4,137,2,-1,0,B
41,1567,1,291,2,-1,0,B
36,-69,27,90,2,-1,0,B
34,1273,11,93,2,-1,0,B
37,-252,22,438,3,-1,0,B
47,0,19,141,1,-1,0,B
54,0,20,83,5,-1,0,B
46,2401,14,218,2,-1,0,B
36,9324,30,138,8,-1,0,B
47,1383,6,460,8,-1,0,B
34,1798,13,196,3,-1,0,B
38,385,28,154,1,-1,0,A
35,475,21,936,4,-1,0,B
38,593,17,182,2,-1,0,B
42,693,13,187,2,-1,0,B
29,2753,30,645,1,-1,0,A
56,237,9,236,4,-1,0,B
46,78,20,172,2,-1,0,B
34,0,3,108,2,180,7,B
56,8,5,157,2,-1,0,B
60,387,4,235,1,-1,0,B
25,127,18,695,2,-1,0,B
29,3041,8,606,3,-1,0,A
37,-898,21,482,1,-1,0,B
33,599,29,461,2,-1,0,B
35,358,29,92,9,-1,0,B
46,2396,8,307,1,-1,0,B
35,448,20,1031,6,-1,0,B
34,1137,29,383,2,206,1,B
31,-231,26,221,2,-1,0,B
39,54,3,204,2,248,12,B
32,0,21,149,1,-1,0,B
37,2610,13,53,1,-1,0,B
41,-198,14,133,1,-1,0,B
39,-66,24,626,5,-1,0,B
28,1238,28,252,2,-1,0,B
34,428,18,59,2,-1,0,B
34,2929,14,518,2,-1,0,A
32,335,4,99,1,-1,0,B
70,1236,12,58,4,-1,0,B
30,4082,14,215,1,459,17,B
52,1373,27,157,1,-1,0,B
51,564,8,187,2,-1,0,B
41,620,28,314,1,-1,0,B
39,176,3,189,2,-1,0,B
44,2541,27,138,3,-1,0,B
58,2609,12,136,5,-1,0,B
34,134,8,104,4,-1,0,B
38,740,7,259,3,-1,0,B
30,432,3,180,3,-1,0,B
48,1092,18,79,1,172,8,B
58,1798,5,19,8,-1,0,B
34,2,5,184,1,167,6,B
31,-212,20,911,4,-1,0,B
37,0,25,163,1,-1,0,B
57,698,1,53,2,-1,0,B
28,2351,22,157,1,-1,0,A
32,545,18,192,1,180,1,B
32,-667,18,152,7,349,1,B
39,2357,20,64,3,273,1,B
41,11008,18,1540,1,-1,0,A
47,612,26,139,4,-1,0,B
28,0,4,237,1,-1,0,B
26,0,13,204,3,-1,0,B
60,164,8,171,1,-1,0,B
49,0,25,42,3,-1,0,B
32,8,16,226,1,-1,0,B
25,0,13,44,9,-1,0,B
25,37,24,11,1,-1,0,B
57,2762,19,100,1,-1,0,B
50,15442,5,91,1,-1,0,B
39,1749,29,46,1,-1,0,B
34,1778,5,99,1,93,3,B
38,926,6,189,3,-1,0,B
30,572,5,237,1,319,4,B
28,145,20,277,1,-1,0,B
31,1308,22,323,3,-1,0,B
32,6217,21,486,2,-1,0,B
28,159,16,449,2,33,4,A
35,0,15,129,2,-1,0,B
48,863,4,412,5,350,2,A
30,-232,7,118,2,-1,0,B
46,5127,6,472,1,-1,0,B
40,4853,31,234,2,-1,0,B
37,-196,26,166,2,-1,0,B
54,542,6,48,5,-1,0,B
26,1702,18,21,1,-1,0,B
52,2257,14,203,1,-1,0,B
67,1979,10,105,2,-1,0,B
33,2240,3,198,1,-1,0,A
42,1687,18,14,3,178,3,B
56,5310,19,74,1,-1,0,B
35,0,16,563,1,-1,0,B
38,351,4,112,1,244,3,B
33,-103,28,268,1,-1,0,B
30,860,20,185,1,-1,0,B
35,2646,14,133,8,183,2,A
45,718,14,135,1,-1,0,B
28,0,8,191,3,-1,0,B
58,5763,20,52,1,-1,0,B
58,0,15,53,1,-1,0,B
27,217,8,319,1,-1,0,B
39,1508,23,281,1,-1,0,B
40,100,11,221,1,461,1,A
37,1610,16,140,2,-1,0,B
58,260,15,71,5,364,3,B
60,1625,12,119,1,-1,0,B
48,3,3,69,1,252,4,B
45,-3,13,213,1,-1,0,B
38,3,5,124,2,-1,0,B
29,573,16,190,4,-1,0,B
39,504,12,495,1,-1,0,B
43,1123,16,191,2,322,3,B
33,980,12,172,2,-1,0,B
32,0,20,92,4,-1,0,B
62,1625,23,155,1,-1,0,B
49,-39,24,147,3,-1,0,B
41,-365,28,226,10,-1,0,C
56,1282,19,323,4,-1,0,B
39,610,20,241,2,-1,0,B
50,2479,17,259,1,-1,0,B
47,955,13,47,1,-1,0,B
48,1791,7,63,2,-1,0,B
42,1601,20,23,2,-1,0,B
59,705,3,537,4,-1,0,B
45,2040,2,803,1,-1,0,A
46,288,9,166,1,-1,0,B
36,235,29,141,9,-1,0,B
53,21522,24,146,4,-1,0,B
49,0,6,286,2,-1,0,B
33,20600,20,125,1,-1,0,B
27,522,15,79,1,-1,0,B
34,1454,11,231,2,297,2,A
55,0,16,73,3,-1,0,B
34,1265,6,397,3,-1,0,B
30,655,23,272,4,184,1,A
30,1788,4,288,1,181,2,A
57,703,15,405,2,-1,0,B
37,887,13,257,5,-1,0,B
49,0,9,106,1,-1,0,B
42,3396,20,93,4,-1,0,B
43,68,17,31,2,-1,0,B
40,502,3,267,4,270,3,B
60,955,18,37,3,-1,0,B
70,2064,22,334,1,-1,0,B
42,-249,14,149,3,-1,0,B
27,102,29,123,2,-1,0,B
39,173,18,96,2,182,2,B
43,254,15,104,3,-1,0,B
53,31,16,90,2,-1,0,B
37,277,8,338,2,-1,0,B
57,504,8,177,2,-1,0,B
43,140,9,52,1,-1,0,B
43,-705,27,125,6,-1,0,B
49,418,18,1559,7,-1,0,B
31,430,15,103,2,-1,0,B
28,0,18,209,20,-1,0,A
29,658,15,198,2,244,4,A
36,269,11,155,2,-1,0,B
35,22,11,109,1,-1,0,B
37,21,29,52,2,-1,0,B
27,1820,17,1027,1,-1,0,A
30,-189,19,105,2,-1,0,B
29,144,2,105,3,-1,0,B
49,99,6,687,2,343,1,A
47,77,9,83,4,-1,0,B
41,8368,11,179,1,-1,0,B
48,54,16,293,7,-1,0,B
51,382,15,56,3,-1,0,B
60,385,4,80,1,-1,0,B
57,5041,16,284,1,336,1,B
28,0,3,380,4,-1,0,B
61,32685,2,1447,2,-1,0,A
