weather,humidity,local_pressure,visibility,wind_direction,wind_speed,temperature
Clouds,81,1013,10000,350,8.9000,13
Clear,76,1020,14484,210,1.0000,14
Clouds,93,1014,10000,50,5.1000,16
Clouds,60,1023,10000,60,7.7000,24
Clouds,68,1018,10000,180,4.1000,20
Clouds,68,1019,10000,70,6.2000,17
Clear,63,1011,10000,170,7.7000,16
Clouds,55,996,10000,330,8.7000,16
Clear,57,1019,10000,216,5.2000,21
Rain,100,1006,10000,60,7.2000,14
Clear,86,1023,10000,46,1.9000,19
Clouds,78,998,10000,200,9.3000,22
Clear,92,1028,10000,17,3.3000,18
Clouds,25,1002,10000,350,8.7000,25
Clear,43,1010,10000,180,4.6000,25
Clouds,77,1019,10000,110,2.6000,19
Rain,50,1004,10000,179,1.5000,23
Rain,83,998,10000,210,7.2000,23
Clouds,31,998,10000,180,6.1000,25
Clouds,69,997,10000,210,10.8000,28
Clouds,72,1019,10000,40,5.1000,16
Rain,72,1011,10000,210,6.2000,18
Rain,97,1004,10000,224,1.9000,21
Rain,73,1011,10000,200,8.2000,21
Clouds,41,993,10000,324,3.0000,20
Clear,51,1013,10000,190,7.2000,28
Clouds,82,1018,10000,30,5.1000,13
Clouds,77,1006,10000,110,1.5000,22
Clouds,96,1009,10000,160,1.3000,21
Rain,96,1001,10000,0,2.5000,20
Clouds,44,1014,10000,140,3.6000,28
Clouds,70,1002,10000,26,0.5000,22
Rain,35,996,10000,341,4.1000,27
Rain,77,1014,16093,30,3.1000,20
Rain,93,1007,10000,350,5.7000,15
Clouds,94,1008,10000,88,2.3000,24
Clouds,83,1014,10000,173,3.8000,22
Clouds,83,1019,10000,140,1.5000,20
Clouds,99,1014,10000,119,1.3000,22
Clouds,73,1013,10000,60,7.2000,21
Clouds,94,1012,10000,170,2.6000,23
Rain,95,1005,10000,224,1.9000,22
Clouds,53,1008,10000,28,0.5000,33
Clear,32,999,10000,315,0.5000,23
Rain,88,1003,10000,300,3.6000,22
Rain,88,999,10000,60,6.7000,22
Clouds,88,1012,10000,230,1.5000,23
Clouds,83,1012,10000,110,3.1000,28
Clouds,83,1014,10000,30,3.1000,22
Clouds,62,1004,10000,160,6.7000,33
Rain,88,1008,10000,150,3.6000,27
Rain,94,1015,16093,150,2.6000,22
Clouds,70,1012,10000,130,6.2000,30
Rain,100,1004,10000,50,3.1000,25
Clear,84,1010,10000,185,2.9000,27
Clouds,94,1008,10000,130,2.6000,26
Clouds,38,1002,10000,342,4.1000,26
Rain,78,1009,10000,190,7.2000,23
Rain,30,1005,10000,117,3.0000,26
Clouds,31,1006,10000,125,3.6000,25
Clouds,69,1014,10000,100,5.7000,28
Rain,88,1010,16093,10,1.5000,25
Clouds,88,1011,7000,190,4.1000,24
Clouds,69,1014,10000,100,4.1000,27
Clear,81,1010,10000,176,0.5000,28
Clouds,78,1005,10000,180,5.1000,26
Clouds,100,1012,10000,130,2.1000,23
Clouds,24,994,10000,10,4.0000,27
Rain,78,1007,10000,130,6.7000,29
Clouds,66,1006,10000,180,5.7000,29
Rain,94,991,4000,80,17.0000,25
Rain,94,1005,10000,9,5.3000,25
Clouds,24,1000,10000,79,3.6000,31
Rain,83,1004,10000,170,7.2000,27
Rain,94,1008,10000,50,2.1000,24
Rain,79,993,10000,30,7.2000,27
Clouds,88,1006,10000,10,1.0000,24
Clouds,83,1005,10000,100,3.1000,29
Clouds,88,1006,10000,110,2.1000,27
Rain,96,1004,10000,1,3.5000,25
Clouds,60,1015,10000,75,2.7000,32
Clear,17,1007,10000,180,3.6000,33
